original row	URL hash	original classification task	classification outcome	labels from human annotation	human annotation for training vs. eval	used original human annotation	approach to training data	original human annotation source	prescreening for crowdwork	annotator compensation	training for human annotators	formal instructions	multiple annotator overlap	synthesis of annotator overlap	reported inter-annotator agreement	total num of human annotators	median num of annotators per item	link to dataset available	Corpus	Year	Document Type	Cited by	Access Type	label source score	score	max score	norm score
180	a48d2e04cbfe15e9f7b6f3dfbe859f3ba5b37c93f644cb03cb13e773ef1dbb3f	yes	Demographic	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Survey/self-reported	N/A	No information	No information	no Instructions beyond question text	No	N/A	N/A	659	1	yes	Physical & Enviro Sci	2017	Article	4	Open Access	1.0	9.0	11.0	0.8181818181818182
181	e870e12d6237ea935a3b0d742192b00d27784f0ddb43469afddf0e63790f398e	yes	Other	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Article	1	Open Access	0.0			
182	aa4537b121a62e679ebd2693a203b839cf1c7c6bf2b4f4a13efb18a967606643	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2015	Article	47		1.0			
183	ecc5e008c64e9a3b2d83cab7a381146d699e24ef21e0e9d6544303f3c82ad2c9	yes	Other	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	7	Open Access	1.0			
184	c99b060fef6a74a679a6af03eaf13561847f167a6c870de87418e92fd9960b1c	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Conference Paper	3		0.0			
185	69ba2654fb93fecd27d9586cee01218a65b392542d100b900f7547ad34fd62f2	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2015	Article	3					
186	d3354b8395de2bf951c3fb9ff0377752fb5469b291296e0324d852925ee64211	yes	Demographic	No information (implicit)	HA for training data	Only original	Original human-labeled dataset	Survey/self-reported	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2016	Conference Paper	1		0.0	3.0	11.0	0.2727272727272727
187	faffe044e3e504c2536ec4c21e9c4b074f8d881bc844b03e1e66998aa5f6e2a0	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	2	Open Access				
188	3f162bf57348c1d2ec22f99e48ddbc8c5d9ec3560f5ce2ecefef9a812407f6cf	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Article	8		1.0			
189	4a8ff714345f2f3f27d6550ba9ffaf2b812e41737bfea8124d291a1665d902e8	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Conference Paper	0					
190	201851dc9d0bd3fd5060f0cb497aa78c3624ee1ab0e164a7a4d070fe1cfea737	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	0	Open Access				
191	99c322f4045f7ce68bc5fb01ec9ccac35efe4afe0b9250e2657365cdcc0709ed	yes	Linguistic	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	1		1.0			
192	72cbd07b094adb933e21c9fcef8614fe4d9ac1edfe595d92d5c3676ce781d95d	yes	Medical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Conference Paper	2		1.0			
193	a681e9a2c36384dead88c61977bdb1f660f21ea58bf2944d06c18f0bf7b27c1d	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	1	Open Access	1.0			
194	3ef4e7e71bb2038eac65ec360c8d73922b1ee23be5436c460e23b7dc2a9069fc	yes	Medical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	4		1.0			
195	8d03237138a16c0a2a689d66ea13c250d4aabd499563f94f7725d890fa7b730b	yes	Linguistic	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	No information	Instructions w/ formal definition or examples	Yes for all items	No information	yes	2	2	no	Life Sci & Biomedical	2016	Article	11	Open Access	1.0	10.0	13.0	0.7692307692307693
196	4f3d33128aaf8d4c5b134de31cd4d313cba6fb1c3073ee4c48216d1519694588	yes	Biological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	3	Open Access	0.0			
197	929a8c77b1e75c26130344dca269759b44ed01ed53eba77f337ef5106be8141c	yes	Medical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	2		1.0			
198	e6da1957824240f2b7de01f1d7b54def296924d357ff952787ed3182fc801e81	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other w/ claim of expertise	N/A	No information	No information	Instructions w/ formal definition or examples	Yes for all items	Quantitative / no discussion	yes	2	2	no	Life Sci & Biomedical	2016	Article	2	Open Access	1.0	10.0	13.0	0.7692307692307693
199	a747196b27097e349348547272305007a128b49a159449b651a16aa1536508c9	yes	Medical	No information (implicit)	HA for evaluation only	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Conference Paper	0		0.0			
200	d29948f93b01194845e2ebc5c5899c38e73cd3d5d2d8439059a72dc12f3abf02	yes	Medical	No information (implicit)	HA for training data	Only original	Original human-labeled dataset	No information	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2016	Article	4		0.0	3.0	11.0	0.2727272727272727
201	867ed66f03805e58062d40b2f3b9d333fc81962ef3681e22853753c651f6b639	yes	Physical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	1		0.0			
